site,sample,species,density,rbi,srl,unique_id,air_porosity,som
S3,S1,Leptospermum squarrosum,0.13268208096575942,0.7731958762886598,4850.0,S3S1Leptospermum squarrosum1,NA,5.2133418098
S3,S2,Leptospermum squarrosum,0.14398095913939143,1.085026632471888,5335.789473684211,S3S2Leptospermum squarrosum2,NA,5.2133418098
S3,S3,Leptospermum squarrosum,0.1322752763988351,0.7613247049866769,9552.727272727272,S3S3Leptospermum squarrosum3,NA,5.2133418098
S3,S1,Lepyrodia scariosa,0.10324137901429876,1.3374944271065536,37383.333333333336,S3S1Lepyrodia scariosa1,19.23774955,5.2133418098
S3,S2,Plinthanthesis paradoxa,0.13113599668292414,0.5735462807729639,2869.1139240506327,S3S2Plinthanthesis paradoxa2,3.065290692,5.2133418098
S3,S3,Plinthanthesis paradoxa,0.160504241104031,0.3061068312841182,6322.903225806452,S3S3Plinthanthesis paradoxa3,2.198660714,5.2133418098
S3,S1,Ptilothrix deusta,0.2486919028138711,1.2776831345826236,10062.857142857143,S3S1Ptilothrix deusta1,11.19433198,5.2133418098
S3,S2,Ptilothrix deusta,0.23737023163512797,1.3420047486321875,10763.333333333332,S3S2Ptilothrix deusta2,6.50710546,5.2133418098
S3,S3,Ptilothrix deusta,0.23355175155419147,0.8460748171874055,5014.242424242424,S3S3Ptilothrix deusta3,11.12596951,5.2133418098
S4,S1,Banksia ericifolia,0.24155946309238455,0.2188662727073758,652.7142857142857,S4S1Banksia ericifolia1,1.005025126,3.6258280186
S4,S2,Banksia ericifolia,0.22982334424007764,2.3591860808021234,5651.666666666667,S4S2Banksia ericifolia2,-8.359621451,3.6258280186
S4,S3,Banksia ericifolia,0.3031225576439098,0.4355400696864112,1350.5882352941176,S4S3Banksia ericifolia3,-1.894612197,3.6258280186
S4,S1,Cyathochaeta diandra,0.21231626922120758,0.17152658662092624,351.2048192771084,S4S1Cyathochaeta diandra1,1.706484642,3.6258280186
S4,S2,Cyathochaeta diandra,0.2316535765074411,0.4446420631391729,1058.3529411764705,S4S2Cyathochaeta diandra2,1.893408135,3.6258280186
S4,S3,Cyathochaeta diandra,0.29630965413210175,0.4371903235208394,1633.8095238095239,S4S3Cyathochaeta diandra3,1.4571949,3.6258280186
S4,S1,Entolasia stricta,0.25612858702915836,0.8771929824561404,764.6341463414633,S4S1Entolasia stricta1,NA,3.6258280186
S4,S2,Entolasia stricta,0.29957118439156755,0.7947546195112258,1398.0555555555557,S4S2Entolasia stricta2,NA,3.6258280186
S4,S1,Gonocarpus tetragynus,0.2870674973204788,1.9448946515397083,3856.2499999999995,S4S1Gonocarpus tetragynus1,1.038421599,3.6258280186
S4,S1,Gonocarpus tetragynus,0.2870674973204788,1.9448946515397083,3856.2499999999995,S4S1Gonocarpus tetragynus1,-7.972136223,3.6258280186
S4,S1,Gonocarpus tetragynus,0.2139674919884623,1.9448946515397083,3856.2499999999995,S4S1Gonocarpus tetragynus1,1.038421599,3.6258280186
S4,S1,Gonocarpus tetragynus,0.2139674919884623,1.9448946515397083,3856.2499999999995,S4S1Gonocarpus tetragynus1,-7.972136223,3.6258280186
S4,S3,Gonocarpus tetragynus,0.2658224295537684,2.3059185242121445,1327.5510204081634,S4S3Gonocarpus tetragynus3,NA,3.6258280186
S4,S1,Lepidosperma neesii,0.2287269465574486,1.17096018735363,1592.2033898305085,S4S1Lepidosperma neesii1,2.417188899,3.6258280186
S4,S2,Lepidosperma neesii,0.316897403078922,0.7372301211163771,1582.4999999999998,S4S2Lepidosperma neesii2,10.51948052,3.6258280186
S4,S3,Lepidosperma neesii,0.33376821238471077,0.0,517.0454545454545,S4S3Lepidosperma neesii3,-0.496688742,3.6258280186
S4,S1,Leptocarpus tenax,0.19624940111024988,0.3811944091486658,2127.027027027027,S4S1Leptocarpus tenax1,9.832134293,3.6258280186
S4,S2,Leptocarpus tenax,0.21137938169198595,0.8708272859216256,2153.125,S4S2Leptocarpus tenax2,20.01183257,3.6258280186
S4,S3,Leptocarpus tenax,0.20523021017752957,1.6920473773265652,4111.304347826087,S4S3Leptocarpus tenax3,16.83348499,3.6258280186
S4,S1,Leptospermum squarrosum,0.3354421921794353,0.3379520108144643,672.5,S4S1Leptospermum squarrosum1,-0.655542312,3.6258280186
S4,S2,Leptospermum squarrosum,0.39802873311466846,0.7579585649317837,7916.0,S4S2Leptospermum squarrosum2,-1.618777823,3.6258280186
S4,S3,Leptospermum squarrosum,0.29298011702302884,1.791847095714499,943.2394366197183,S4S3Leptospermum squarrosum3,-1.130604288,3.6258280186
S4,S1,Lepyrodia scariosa,0.19608720769892068,1.3917884481558802,942.295081967213,S4S1Lepyrodia scariosa1,18.59732072,3.6258280186
S4,S2,Lepyrodia scariosa,0.23286666703985043,0.8395130824122009,3248.6363636363635,S4S2Lepyrodia scariosa2,17.62820513,3.6258280186
S4,S3,Lepyrodia scariosa,0.17424477956417397,2.2246941045606228,2247.5,S4S3Lepyrodia scariosa3,23.60788863,3.6258280186
S4,S1,Lomandra obliqua,0.40171069215595134,0.8628127696289906,1413.4146341463413,S4S1Lomandra obliqua1,-5.39083558,3.6258280186
S4,S2,Lomandra obliqua,0.5476184267872183,0.11960291831120679,221.7771883289125,S4S2Lomandra obliqua2,NA,3.6258280186
S4,S3,Lomandra obliqua,0.49364487719152406,1.3638430065161389,2999.5454545454545,S4S3Lomandra obliqua3,NA,3.6258280186
S4,S1,Ptilothrix deusta,0.35386872801648384,0.33296337402885684,770.0854700854701,S4S1Ptilothrix deusta1,12.24732461,3.6258280186
S4,S2,Ptilothrix deusta,0.39074969096926915,1.1550981833455845,3662.6923076923076,S4S2Ptilothrix deusta2,6.458590853,3.6258280186
S4,S3,Ptilothrix deusta,0.3865129336060586,1.2729124236252547,2618.6666666666665,S4S3Ptilothrix deusta3,8.647450111,3.6258280186
S4,S1,Xyris bracteata,0.19676716524110321,0.09547450830628222,824.724409448819,S4S1Xyris bracteata1,6.482546989,3.6258280186
S4,S2,Xyris bracteata,0.2192218508084705,0.5143151037202126,1458.25,S4S2Xyris bracteata2,16.00783681,3.6258280186
S4,S3,Xyris bracteata,0.11869078557850302,0.25090954710826746,1811.590909090909,S4S3Xyris bracteata3,7.69538277,3.6258280186
S5,S1,Banksia ericifolia,0.17940238132186445,2.0186915887850465,8916.666666666666,S5S1Banksia ericifolia1,NA,4.8724604956
S5,S2,Banksia ericifolia,0.3021873294470774,1.601708489054992,1012.4324324324324,S5S2Banksia ericifolia2,NA,4.8724604956
S5,S3,Banksia ericifolia,0.2533916811640797,1.1278725504018046,622.1929824561403,S5S3Banksia ericifolia3,NA,4.8724604956
S5,S1,Cyathochaeta diandra,0.1747176156288077,0.6260434056761269,1652.4137931034484,S5S1Cyathochaeta diandra1,10.51490515,4.8724604956
S5,S2,Cyathochaeta diandra,0.11455642026020774,0.44666120747413085,932.8472222222223,S5S2Cyathochaeta diandra2,6.420233463,4.8724604956
S5,S3,Cyathochaeta diandra,0.21407160065136854,1.9841269841269842,3665.454545454545,S5S3Cyathochaeta diandra3,9.80746089,4.8724604956
S5,S1,Entolasia stricta,0.17594103503745015,1.8121735422662828,5863.125,S5S1Entolasia stricta1,-7.882069795,4.8724604956
S5,S2,Entolasia stricta,0.1646244291809908,0.8017103153393906,9355.0,S5S2Entolasia stricta2,0.884703196,4.8724604956
S5,S3,Entolasia stricta,0.18346443858557204,0.7397361607693256,9012.222222222223,S5S3Entolasia stricta3,-4.897007384,4.8724604956
S5,S1,Eurychorda complanata,0.12412569915470972,0.9881422924901186,833.4117647058822,S5S1Eurychorda complanata1,13.43832794,4.8724604956
S5,S2,Eurychorda complanata,0.10045399739404018,0.9449562957713207,2116.5,S5S2Eurychorda complanata2,16.80209699,4.8724604956
S5,S3,Eurychorda complanata,0.0969517015653537,1.5363343063450605,8136.25,S5S3Eurychorda complanata3,9.714599341,4.8724604956
S5,S1,Gonocarpus micranthus,0.1284554453029056,0.44531528322052016,4491.2,S5S1Gonocarpus micranthus1,0.076161462,4.8724604956
S5,S2,Gonocarpus micranthus,0.14485714285714288,0.47901896915117836,3599.3103448275865,S5S2Gonocarpus micranthus2,-1.259662182,4.8724604956
S5,S3,Gonocarpus micranthus,0.15047450114701677,0.8630920271873989,6620.714285714286,S5S3Gonocarpus micranthus3,-2.937915743,4.8724604956
S5,S3,Gonocarpus micranthus,0.15047450114701677,0.8630920271873989,6620.714285714286,S5S3Gonocarpus micranthus3,9.154175589,4.8724604956
S5,S3,Gonocarpus micranthus,0.07265952898454993,0.8630920271873989,6620.714285714286,S5S3Gonocarpus micranthus3,-2.937915743,4.8724604956
S5,S3,Gonocarpus micranthus,0.07265952898454993,0.8630920271873989,6620.714285714286,S5S3Gonocarpus micranthus3,9.154175589,4.8724604956
S5,S1,Gonocarpus tetragynus,0.21147211849331887,0.8724915866882712,7293.636363636363,S5S1Gonocarpus tetragynus1,NA,4.8724604956
S5,S2,Gonocarpus tetragynus,0.18743166104253925,0.7624857033930613,3885.925925925926,S5S2Gonocarpus tetragynus2,NA,4.8724604956
S5,S1,Haemodorum corymbosum,0.24882628327776438,2.774181616423155,2703.5,S5S1Haemodorum corymbosum1,-9.540954095,4.8724604956
S5,S2,Haemodorum corymbosum,0.12967320553364076,1.6878128273774882,464.3783783783784,S5S2Haemodorum corymbosum2,-1.569351489,4.8724604956
S5,S3,Haemodorum corymbosum,0.12776248743619353,2.359882005899705,2054.5454545454545,S5S3Haemodorum corymbosum3,-7.409857757,4.8724604956
S5,S1,Lepidosperma neesii,0.2064018803398937,2.0776277268863916,2521.1904761904766,S5S1Lepidosperma neesii1,16.72542107,4.8724604956
S5,S2,Lepidosperma neesii,0.191671962362454,0.5630982919351811,2103.0263157894738,S5S2Lepidosperma neesii2,10.93457944,4.8724604956
S5,S3,Lepidosperma neesii,0.19493573784968968,2.350728725905031,4726.666666666666,S5S3Lepidosperma neesii3,20.52324105,4.8724604956
S5,S1,Leptocarpus tenax,0.1107277771124298,1.0471204188481675,1975.8620689655174,S5S1Leptocarpus tenax1,29.48091401,4.8724604956
S5,S2,Leptocarpus tenax,0.09992370199970145,2.4806201550387597,2580.0,S5S2Leptocarpus tenax2,21.09902217,4.8724604956
S5,S3,Leptocarpus tenax,0.12592136147722224,0.630715862503942,1585.5,S5S3Leptocarpus tenax3,14.08450704,4.8724604956
S5,S2,Leptospermum squarrosum,0.14772395260091656,1.2496875781054735,3637.2727272727275,S5S2Leptospermum squarrosum2,NA,4.8724604956
S5,S3,Leptospermum squarrosum,0.16123295176207883,0.9218477926866742,3905.2,S5S3Leptospermum squarrosum3,NA,4.8724604956
S5,S1,Lepyrodia scariosa,0.11867707152562146,1.5459136349582605,9703.0,S5S1Lepyrodia scariosa1,14.19546637,4.8724604956
S5,S2,Lepyrodia scariosa,0.11136480674774381,2.211166390270868,9045.0,S5S2Lepyrodia scariosa2,17.04115122,4.8724604956
S5,S3,Lepyrodia scariosa,0.0905933579910777,0.0,1552.4137931034484,S5S3Lepyrodia scariosa3,2.656826568,4.8724604956
S5,S1,Plinthanthesis paradoxa,0.1256409234818051,1.9617769902543982,4514.857142857142,S5S1Plinthanthesis paradoxa1,8.204617173,4.8724604956
S5,S2,Plinthanthesis paradoxa,0.1329396947072289,0.6557854852812591,4732.413793103448,S5S2Plinthanthesis paradoxa2,10.9351145,4.8724604956
S5,S3,Plinthanthesis paradoxa,0.15359341437160004,0.8869410966765795,4356.136363636364,S5S3Plinthanthesis paradoxa3,-8.160343593,4.8724604956
S5,S1,Ptilothrix deusta,0.23322145527946664,0.36436509382401167,299.9453551912568,S5S1Ptilothrix deusta1,8.030112923,4.8724604956
S5,S2,Ptilothrix deusta,0.23704135386708047,0.7978299026647518,1989.5238095238096,S5S2Ptilothrix deusta2,13.91967584,4.8724604956
S5,S3,Ptilothrix deusta,0.24359855456551888,1.2595900606893393,1420.0,S5S3Ptilothrix deusta3,12.53285151,4.8724604956
S6,S1,Banksia ericifolia,0.23713296694824215,0.9235315847801996,395.1824817518248,S6S1Banksia ericifolia1,NA,5.9528669352
S6,S2,Banksia ericifolia,0.16877940981215978,0.13385686239514547,987.3127753303963,S6S2Banksia ericifolia2,NA,5.9528669352
