site,sample,site_class,species,species_code,replicate,TD,SRL
S18,S1,IB,Lepyrodia scariosa,lepy,1,,0.0006
S18,S2,IB,Lepyrodia scariosa,lepy,2,0.0526,0.0011
S18,S3,IB,Lepyrodia scariosa,lepy,3,0.0375,
S18,S1,IB,Eurychorda complanata,eury,1,0.2633,0.0009
S18,S2,IB,Eurychorda complanata,eury,2,,0.0022
S18,S3,IB,Eurychorda complanata,eury,3,,0.0017
S18,S1,IB,Banksia oblongifolia,obl,1,,0.0063
S18,S2,IB,Banksia oblongifolia,obl,2,,0.0061
S18,S3,IB,Banksia oblongifolia,obl,3,,0.0049
S18,S1,IB,Ptilothrix deusta,pti,1,0.2555,
S18,S2,IB,Ptilothrix deusta,pti,2,,
S18,S3,IB,Ptilothrix deusta,pti,3,0.1825,0.0056
S18,S1,IB,Gonocarpus micranthus,gono,1,,0.0004
S18,S2,IB,Gonocarpus micranthus,gono,2,,0.0008
S18,S3,IB,Gonocarpus micranthus,gono,3,,0.0006
S18,S1,IB,Lomandra obliqua,loma,1,,0.0008
S18,S2,IB,Lomandra obliqua,loma,2,,
S18,S3,IB,Lomandra obliqua,loma,3,,
S18,S1,IB,Lepidosperma neesii,nee,1,,
S18,S2,IB,Lepidosperma neesii,nee,2,0.0814,
S18,S3,IB,Lepidosperma neesii,nee,3,,0.0064
S18,S1,IB,Banksia ericifolia,eric,1,,0.0113
S18,S2,IB,Banksia ericifolia,eric,2,,
S18,S3,IB,Banksia ericifolia,eric,3,,
S18,S1,IB,Entolasia stricta,ento,1,,0.0039
S18,S2,IB,Entolasia stricta,ento,2,,
S18,S3,IB,Entolasia stricta,ento,3,,0.001
S18,S1,IB,Empodisma minus,emp,1,0.2366,0.0049
S18,S2,IB,Empodisma minus,emp,2,0.1977,0.0025
S18,S3,IB,Empodisma minus,emp,3,0.0733,0.0004
S18,S1,IB,Gonocarpus tetragynus,tetra,1,,
S18,S2,IB,Gonocarpus tetragynus,tetra,2,,
S18,S3,IB,Gonocarpus tetragynus,tetra,3,,0.0007
S17,S1,IU,Eurychorda complanata,eury,1,,0.0158
S17,S2,IU,Eurychorda complanata,eury,2,0.2513,0.0147
S17,S3,IU,Eurychorda complanata,eury,3,0.2039,0.0071
S17,S1,IU,Plinthanthesis paradoxa,plin,1,,0.0056
S17,S2,IU,Plinthanthesis paradoxa,plin,2,,
S17,S3,IU,Plinthanthesis paradoxa,plin,3,,
S17,S1,IU,Banksia ericifolia,eric,1,,0.0114
S17,S2,IU,Banksia ericifolia,eric,2,,
S17,S3,IU,Banksia ericifolia,eric,3,,
S17,S1,IU,Lepyrodia scariosa,lepy,1,0.1095,0.0023
S17,S2,IU,Lepyrodia scariosa,lepy,2,,0.0023
S17,S3,IU,Lepyrodia scariosa,lepy,3,,0.0089
S17,S1,IU,Gonocarpus tetragynus,tetra,1,,0.0035
S17,S2,IU,Gonocarpus tetragynus,tetra,2,,0.0034
